GI,GenBank Accession,UniProt Accession,UniProt Entry ID
,ABJ54655.1,A0A0H2ZNK7,A0A0H2ZNK7_STRP2
,ABJ54174.1,A0A0H2ZNK8,A0A0H2ZNK8_STRP2
,ABJ54253.1,A0A0H2ZNK9,A0A0H2ZNK9_STRP2
,ABJ54792.1,A0A0H2ZNL0,A0A0H2ZNL0_STRP2
,ABJ54661.1,A0A0H2ZNL1,A0A0H2ZNL1_STRP2
,ABJ54799.1,A0A0H2ZNL6,A0A0H2ZNL6_STRP2
,ABJ54187.1,A0A0H2ZNL8,A0A0H2ZNL8_STRP2
,ABJ54672.1,A0A0H2ZNL9,A0A0H2ZNL9_STRP2
,ABJ54266.1,A0A0H2ZNM0,A0A0H2ZNM0_STRP2
,ABJ54804.1,A0A0H2ZNM1,A0A0H2ZNM1_STRP2
,ABJ54430.1,A0A0H2ZNM2,A0A0H2ZNM2_STRP2
,ABJ54677.1,A0A0H2ZNM3,A0A0H2ZNM3_STRP2
,ABJ54193.1,A0A0H2ZNM4,A0A0H2ZNM4_STRP2
,ABJ54809.1,A0A0H2ZNM6,A0A0H2ZNM6_STRP2
,ABJ54683.1,A0A0H2ZNM8,A0A0H2ZNM8_STRP2
,ABJ54198.1,A0A0H2ZNM9,A0A0H2ZNM9_STRP2
,ABJ54442.1,A0A0H2ZNN2,A0A0H2ZNN2_STRP2
,ABJ54204.1,A0A0H2ZNN3,A0A0H2ZNN3_STRP2
,ABJ54819.1,A0A0H2ZNN4,A0A0H2ZNN4_STRP2
,ABJ54696.1,A0A0H2ZNN5,A0A0H2ZNN5_STRP2
,ABJ54209.1,A0A0H2ZNN7,A0A0H2ZNN7_STRP2
,ABJ54701.1,A0A0H2ZNN8,A0A0H2ZNN8_STRP2
,ABJ54826.1,A0A0H2ZNN9,A0A0H2ZNN9_STRP2
,ABJ54453.1,A0A0H2ZNP0,A0A0H2ZNP0_STRP2
,ABJ54215.1,A0A0H2ZNP1,A0A0H2ZNP1_STRP2
,ABJ54706.1,A0A0H2ZNP2,A0A0H2ZNP2_STRP2
,ABJ54711.1,A0A0H2ZNP6,A0A0H2ZNP6_STRP2
,ABJ54464.1,A0A0H2ZNP7,A0A0H2ZNP7_STRP2
,ABJ54838.1,A0A0H2ZNP8,A0A0H2ZNP8_STRP2
,ABJ54845.1,A0A0H2ZNQ2,A0A0H2ZNQ2_STRP2
,ABJ54722.1,A0A0H2ZNQ4,A0A0H2ZNQ4_STRP2
,ABJ54284.1,A0A0H2ZNQ7,A0A0H2ZNQ7_STRP2
,ABJ54727.1,A0A0H2ZNQ9,A0A0H2ZNQ9_STRP2
,ABJ54289.1,A0A0H2ZNR0,A0A0H2ZNR0_STRP2
,ABJ54484.1,A0A0H2ZNR1,A0A0H2ZNR1_STRP2
,ABJ54855.1,A0A0H2ZNR3,A0A0H2ZNR3_STRP2
,ABJ54297.1,A0A0H2ZNR5,A0A0H2ZNR5_STRP2
,ABJ54491.1,A0A0H2ZNR6,A0A0H2ZNR6_STRP2
,ABJ54245.1,A0A0H2ZNR7,A0A0H2ZNR7_STRP2
,ABJ54862.1,A0A0H2ZNR8,A0A0H2ZNR8_STRP2
,ABJ54304.1,A0A0H2ZNR9,A0A0H2ZNR9_STRP2
,ABJ54498.1,A0A0H2ZNS1,A0A0H2ZNS1_STRP2
,ABJ54250.1,A0A0H2ZNS2,A0A0H2ZNS2_STRP2
,ABJ54867.1,A0A0H2ZNS4,A0A0H2ZNS4_STRP2
,ABJ54503.1,A0A0H2ZNS5,A0A0H2ZNS5_STRP2
,ABJ54747.1,A0A0H2ZNS6,A0A0H2ZNS6_STRP2
,ABJ54315.1,A0A0H2ZNS7,A0A0H2ZNS7_STRP2
,ABJ54255.1,A0A0H2ZNS8,A0A0H2ZNS8_STRP2
,ABJ54509.1,A0A0H2ZNS9,A0A0H2ZNS9_STRP2
,ABJ54321.1,A0A0H2ZNT0,A0A0H2ZNT0_STRP2
,ABJ54515.1,A0A0H2ZNT3,A0A0H2ZNT3_STRP2
,ABJ54327.1,A0A0H2ZNT4,A0A0H2ZNT4_STRP2
,ABJ54759.1,A0A0H2ZNT5,A0A0H2ZNT5_STRP2
,ABJ54333.1,A0A0H2ZNT7,A0A0H2ZNT7_STRP2
,ABJ54521.1,A0A0H2ZNT8,A0A0H2ZNT8_STRP2
,ABJ54764.1,A0A0H2ZNT9,A0A0H2ZNT9_STRP2
,ABJ54340.1,A0A0H2ZNU0,A0A0H2ZNU0_STRP2
,ABJ54348.1,A0A0H2ZNU2,A0A0H2ZNU2_STRP2
,ABJ54363.1,A0A0H2ZNU8,A0A0H2ZNU8_STRP2
,ABJ54872.1,A0A0H2ZNU9,A0A0H2ZNU9_STRP2
,ABJ54368.1,A0A0H2ZNV0,A0A0H2ZNV0_STRP2
,ABJ54546.1,A0A0H2ZNV1,A0A0H2ZNV1_STRP2
,ABJ54785.1,A0A0H2ZNV2,A0A0H2ZNV2_STRP2
,ABJ54878.1,A0A0H2ZNV3,A0A0H2ZNV3_STRP2
,ABJ54551.1,A0A0H2ZNV4,A0A0H2ZNV4_STRP2
,ABJ54374.1,A0A0H2ZNV5,A0A0H2ZNV5_STRP2
,ABJ54791.1,A0A0H2ZNV6,A0A0H2ZNV6_STRP2
,ABJ54557.1,A0A0H2ZNV9,A0A0H2ZNV9_STRP2
,ABJ54275.1,A0A0H2ZNW1,A0A0H2ZNW1_STRP2
,ABJ54385.1,A0A0H2ZNW2,A0A0H2ZNW2_STRP2
,ABJ54890.1,A0A0H2ZNW3,A0A0H2ZNW3_STRP2
,ABJ54803.1,A0A0H2ZNW4,A0A0H2ZNW4_STRP2
,ABJ54563.1,A0A0H2ZNW5,A0A0H2ZNW5_STRP2
,ABJ54391.1,A0A0H2ZNW6,A0A0H2ZNW6_STRP2
,ABJ54280.1,A0A0H2ZNW7,A0A0H2ZNW7_STRP2
,ABJ54896.1,A0A0H2ZNW8,A0A0H2ZNW8_STRP2
,ABJ54808.1,A0A0H2ZNX0,A0A0H2ZNX0_STRP2
,ABJ54286.1,A0A0H2ZNX1,A0A0H2ZNX1_STRP2
,ABJ54396.1,A0A0H2ZNX2,A0A0H2ZNX2_STRP2
,ABJ54901.1,A0A0H2ZNX3,A0A0H2ZNX3_STRP2
,ABJ54291.1,A0A0H2ZNX5,A0A0H2ZNX5_STRP2
,ABJ54574.1,A0A0H2ZNX6,A0A0H2ZNX6_STRP2
,ABJ54401.1,A0A0H2ZNX7,A0A0H2ZNX7_STRP2
,ABJ54909.1,A0A0H2ZNX8,A0A0H2ZNX8_STRP2
